"user_id","before_update","after_update"
1,64.3952435344779,79.2646422147681
2,67.6982251051672,72.0492851700773
3,85.5870831414912,83.9512566104502
4,70.7050839142458,83.7813348753304
5,71.2928773516095,83.2158108163749
6,87.1506498688328,81.8864025410009
7,74.609162059892,80.5391765353759
8,57.3493876539347,74.3808828942328
9,63.1314714810647,71.9403733626008
10,65.5433802990004,71.1952899898762
11,82.2408179743946,68.0529302107949
12,73.5981382705736,72.920827219804
13,74.0077145059405,62.3460364843174
14,71.1068271594512,96.6895596533851
15,64.4415886524592,87.0796199830499
16,87.8691313680308,63.7689141679665
17,74.9785047822924,70.9711516470092
18,50.3338284337036,70.3334464637678
19,77.0135590156369,82.7996511833632
20,65.2720859227207,74.1663093352817
21,59.3217629401315,77.5331851399475
22,67.820250853417,74.714532446513
23,59.7399555169276,74.5712954270868
24,62.7110877070886,88.6860228401446
25,63.7496073215074,72.7422901434073
26,53.1330668925759,90.1647060442954
27,78.3778704449452,59.5124719576978
28,71.5337311783652,80.8461374963607
29,58.6186306298805,76.2385424384461
30,82.5381492106993,77.1594156874397
